day_hr,num_trades,total_usd,total_fees_usd,num_new_positions,liq_usd_added,liq_usd_net
2021-06-24 13:00:00.000 UTC,1447,2.4105420493960906e+07,38702.814130157654,54,2.9015266645315597e+06,449200.8507531365
2023-06-29 14:00:00.000 UTC,1374,3.520440588405861e+07,33251.358813824576,5,1.878629616200381e+06,-53833.09266029906
2023-06-15 14:00:00.000 UTC,1844,2.9699930724980965e+07,19216.861340482086,25,4.292050997144658e+06,157820.4069144683
2023-06-07 03:00:00.000 UTC,2455,3.710842554614442e+07,52805.135578127425,20,6.623667207416959e+07,-872160.6219667896
2023-05-21 00:00:00.000 UTC,3307,2.147576810744417e+07,63670.54186151332,10,324750.6918620775,30597.278766068022
2023-05-02 04:00:00.000 UTC,3117,1.212791502262436e+07,44355.86233687945,13,1.908648893390459e+07,-241748.6063748861
2023-03-23 23:00:00.000 UTC,1747,3.553427930393345e+07,46418.488307162756,36,8.71184111522952e+07,31678.50570651003
2023-03-22 05:00:00.000 UTC,1944,2.045216786230828e+07,32101.925753329186,34,1.711016435795694e+08,-1.254555260107978e+06
2023-02-04 02:00:00.000 UTC,1868,2.7269702773872714e+07,34969.5301125428,34,1.6348210262117907e+08,-8.632790410505682e+06
2023-01-29 14:00:00.000 UTC,2172,2.8163112028048966e+07,31630.557148251326,33,7.597499560610138e+07,146847.42366968867
2023-01-27 06:00:00.000 UTC,1572,4.0795571361416854e+07,21753.558560385773,40,1.5392064176008126e+08,300040.4864360879
2023-01-26 15:00:00.000 UTC,2782,7.462002101356645e+07,94646.01721685157,28,8.371725622639404e+07,36064.77358275646
2023-01-09 09:00:00.000 UTC,2042,3.687783406478562e+07,43241.72461050323,52,1.896867997889101e+08,-741833.401594266
2022-11-27 13:00:00.000 UTC,1344,9.634930358922945e+06,11051.900819545634,61,7.353270167670237e+07,8.009102318959985e+06
2022-11-07 22:00:00.000 UTC,3117,7.923739052025788e+07,99834.57260595617,42,1.879278302775784e+08,-1.0000042835249122e+06
2022-08-22 10:00:00.000 UTC,1598,5.75475186461364e+07,59074.08047438644,29,3.497490514150274e+07,3.599609699778233e+06
2022-08-02 08:00:00.000 UTC,1569,3.0049604581406128e+07,28982.14344947663,50,3.3089491931146006e+06,530643.8929900688
2022-06-29 22:00:00.000 UTC,1048,2.2523833197039355e+07,25652.16157624432,12,71972.67557102999,-63879.63623230689
2022-06-21 06:00:00.000 UTC,1710,5.6688052812966704e+07,65606.93068185923,19,8.05895667616732e+07,-310197.27489095007
2022-06-11 17:00:00.000 UTC,1837,5.244402114220767e+07,62165.16372223787,32,8.220120716663826e+07,-4.643704164920479e+06
2022-06-11 05:00:00.000 UTC,1045,2.0281676340397403e+07,24473.920580224247,33,1.1046856811606213e+06,-640809.8797717149
2022-06-08 06:00:00.000 UTC,1474,3.354618158118981e+07,49969.2058932192,19,1.5771733157126196e+06,1.045408491924101e+06
2022-06-01 04:00:00.000 UTC,1634,7.31348157825086e+07,68756.1028696624,9,1.5847360282518208e+07,-149074.8856826792
2022-05-29 05:00:00.000 UTC,895,1.1015179033503624e+07,12576.53108061386,13,110218.00826727721,-34046.72781633893
2022-05-27 11:00:00.000 UTC,1612,5.1319082805068895e+07,51445.80172123231,22,6.237825023126977e+07,320389.1838679389
2022-01-19 14:00:00.000 UTC,1673,1.1691750304580149e+08,166845.51795172034,14,5.400819996164279e+06,-657656.6182068147
2022-01-05 19:00:00.000 UTC,2322,2.2105610043216273e+08,397559.22762821533,12,2.732222538052581e+07,-5.899426878714067e+06
2021-12-09 15:00:00.000 UTC,2331,3.0512644409248453e+08,431706.55845450284,11,2.173182224707978e+07,-1.0982625847310834e+07
2021-11-10 15:00:00.000 UTC,2253,8.373440432652314e+07,283744.6130208386,13,7.199795702507772e+07,-9.558606982863989e+06
2021-10-29 20:00:00.000 UTC,1327,3.934355535946099e+07,84088.06687115673,13,9.886664387896483e+07,5.221619330243345e+07
2021-09-26 22:00:00.000 UTC,1302,7.764825111622296e+07,129016.78282005427,13,775461.4078887879,596286.7789575605
2021-09-03 16:00:00.000 UTC,1721,6.102119273580106e+07,279615.5518313554,9,2.2321527090375135e+06,1.023023911365237e+06
2021-08-10 20:00:00.000 UTC,1042,4.1876008020073675e+07,79518.05545004763,10,3.067508859034797e+06,-858358.1095958807
2021-08-08 23:00:00.000 UTC,1778,6.5754592586693905e+07,101152.60768107345,26,1.4764544477943426e+06,-820142.7098923118
2021-07-30 05:00:00.000 UTC,2039,2.5845980343290016e+07,42952.40830807998,32,3.715316775483573e+07,1.583476557378825e+06
2021-07-28 08:00:00.000 UTC,1665,4.308575436368043e+07,71621.7576851521,20,3.0037349160251662e+07,5.557752711928613e+06
2021-07-18 00:00:00.000 UTC,2041,7.79463462953144e+07,149684.70753603263,13,3.8578489627026394e+07,-381407.79283381527
2021-07-10 22:00:00.000 UTC,2267,1.819373214390275e+07,47681.85910642147,29,180087.90642262413,61227.15577571949
2021-06-12 01:00:00.000 UTC,2523,5.7098990239287704e+07,138220.05122165685,37,6.704256227441447e+06,-4.211568507078681e+06
2021-05-18 17:00:00.000 UTC,1148,3.3694051233270556e+07,94516.50558173154,25,7.338394702187281e+06,3.595367896066619e+06
2021-05-18 10:00:00.000 UTC,1301,2.2892068128214344e+07,59992.7972913233,45,1.3196407045660097e+07,7.662532524380063e+06
2023-06-25 09:00:00.000 UTC,1478,2.043209767368383e+07,24532.11916301957,10,3.7382328619263675e+06,3.4155147969380836e+06
2023-06-04 19:00:00.000 UTC,1777,6.621188742692095e+06,13225.843488016171,10,3.171102576899869e+07,33537.40289666939
2023-05-19 02:00:00.000 UTC,3387,9.848231160184413e+06,28396.519136347302,12,208578.96969665829,-10086.082652469566
2023-03-09 23:00:00.000 UTC,2962,6.077430527442233e+07,55287.07089773962,33,3.576957808661515e+07,1.0952914533250025e+06
2023-02-26 14:00:00.000 UTC,2497,3.978107214088382e+07,50392.47053282242,26,7.437617267750151e+07,11185.951709222969
2023-01-14 18:00:00.000 UTC,2044,4.339495614311357e+07,33862.693405258324,47,1.7341161226134887e+08,1.5076321988102337e+06
2022-11-16 10:00:00.000 UTC,1852,2.5136400561328925e+07,20499.807925591755,48,7.49478923662655e+07,3.4464467264449988e+06
2022-10-30 23:00:00.000 UTC,1679,3.751762819914008e+07,27357.044141365754,42,2.067802631695782e+08,90774.09235889491
2022-10-09 16:00:00.000 UTC,1090,1.1828203700017696e+07,13728.420038186254,18,2.738655198345862e+07,-347976.53645146143
2022-09-02 12:00:00.000 UTC,3168,1.859669667484994e+08,199945.3934344247,25,2.1134554285664884e+06,-386391.36954217125
2022-07-21 16:00:00.000 UTC,2335,1.1334560206093541e+08,132743.9590531744,27,7.54129870274652e+07,-1.0727318473677489e+06
2022-06-29 04:00:00.000 UTC,1265,2.0596188090983704e+07,29363.271450541593,27,3.16472766665906e+07,-6.646800202566946e+06
2022-05-26 01:00:00.000 UTC,809,2.6469396725333363e+07,31681.13197763659,17,3.653940761505508e+06,-3.1683296611796063e+06
2022-05-25 19:00:00.000 UTC,880,4.517969829728528e+07,46717.97473092803,9,1.202880368541536e+06,270771.6907006208
2022-05-10 03:00:00.000 UTC,2377,1.170987257753604e+08,181878.1324181697,23,7.402490019184393e+07,1.5461446538363945e+07
2022-05-01 15:00:00.000 UTC,1832,7.415747228724363e+07,133508.8394775749,22,4.655748491899837e+06,685447.3671980844
2022-02-11 02:00:00.000 UTC,1266,6.03168769993125e+07,76204.61997601285,11,1.3236471098859052e+06,113700.46419758916
2022-01-30 18:00:00.000 UTC,872,4.2030933696527876e+07,62194.15987492594,7,452637.13132627535,205958.6685609302
2022-01-02 13:00:00.000 UTC,1397,2.4457119960729435e+07,66405.9138973015,8,2.2428865976517024e+06,-387714.38355434686
2021-12-26 09:00:00.000 UTC,1874,5.7431840358348794e+07,82480.85381435187,19,3.6907584380123205e+06,411475.7037501841
